provincia_id,produccion_documentada
AZANGARO,True
SAN ROMAN,True
PUNO,True
EL COLLAO,True
HUANCANE,True
CHUCUITO,True
LAMPA,True
MELGAR,True
YUNGUYO,True
SAN ANTONIO DE PUTINA,True
MOHO,True
CARABAYA,False
SANDIA,False
VILCAS HUAMAN,True
CANGALLO,True
LA MAR,True
HUAMANGA,True
VICTOR FAJARDO,True
HUANTA,True
SUCRE,True
LUCANAS,True
HUANCA SANCOS,True
PARINACOCHAS,True
PAUCAR DEL SARA SARA,False
ANDAHUAYLAS,True
CHINCHEROS,True
ABANCAY,True
AYMARAES,True
GRAU,True
COTABAMBAS,True
ANTABAMBA,True
CAYLLOMA,True
CASTILLA,True
CONDESUYOS,True
LA UNION,True
AREQUIPA,False
CAMANA,False
CARAVELI,False
ISLAY,False
HUANCAYO,True
JAUJA,True
CONCEPCION,True
CHUPACA,True
TARMA,True
JUNIN,False
YAULI,False
SATIPO,False
CHANCHAMAYO,False
ANTA,True
CALCA,True
CANAS,True
CANCHIS,True
CHUMBIVILCAS,True
ESPINAR,True
PARURO,True
QUISPICANCHI,True
URUBAMBA,True
ACOMAYO,True
CUSCO,True
PAUCARTAMBO,True
LA CONVENCION,False
SANTIAGO DE CHUCO,True
JULCAN,True
OTUZCO,True
SANCHEZ CARRION,True
BOLIVAR,True
PATAZ,True
GRAN CHIMU,False
ASCOPE,False
CHEPEN,False
PACASMAYO,False
TRUJILLO,False
VIRU,False
HUANCAVELICA,True
ACOBAMBA,True
ANGARAES,True
CASTROVIRREYNA,True
CHURCAMPA,True
HUAYTARA,True
TAYACAJA,True
