provincia_id,departamento,clasificacion
AZANGARO,PUNO,altoandina
SAN ROMAN,PUNO,altoandina
PUNO,PUNO,altoandina
EL COLLAO,PUNO,altoandina
HUANCANE,PUNO,altoandina
CHUCUITO,PUNO,altoandina
LAMPA,PUNO,altoandina
MELGAR,PUNO,altoandina
YUNGUYO,PUNO,altoandina
SAN ANTONIO DE PUTINA,PUNO,altoandina
MOHO,PUNO,altoandina
CARABAYA,PUNO,transicion
SANDIA,PUNO,transicion
VILCAS HUAMAN,AYACUCHO,altoandina
CANGALLO,AYACUCHO,altoandina
LA MAR,AYACUCHO,transicion
HUAMANGA,AYACUCHO,altoandina
VICTOR FAJARDO,AYACUCHO,altoandina
HUANTA,AYACUCHO,transicion
SUCRE,AYACUCHO,altoandina
LUCANAS,AYACUCHO,altoandina
HUANCA SANCOS,AYACUCHO,altoandina
PARINACOCHAS,AYACUCHO,altoandina
PAUCAR DEL SARA SARA,AYACUCHO,altoandina
ANDAHUAYLAS,APURIMAC,altoandina
CHINCHEROS,APURIMAC,altoandina
ABANCAY,APURIMAC,altoandina
AYMARAES,APURIMAC,altoandina
GRAU,APURIMAC,altoandina
COTABAMBAS,APURIMAC,altoandina
ANTABAMBA,APURIMAC,altoandina
CAYLLOMA,AREQUIPA,altoandina
CASTILLA,AREQUIPA,altoandina
CONDESUYOS,AREQUIPA,altoandina
LA UNION,AREQUIPA,altoandina
AREQUIPA,AREQUIPA,costa_riego
CAMANA,AREQUIPA,costa_riego
CARAVELI,AREQUIPA,costa_riego
ISLAY,AREQUIPA,costa_riego
HUANCAYO,JUNIN,altoandina
JAUJA,JUNIN,altoandina
CONCEPCION,JUNIN,altoandina
CHUPACA,JUNIN,altoandina
TARMA,JUNIN,altoandina
JUNIN,JUNIN,altoandina
YAULI,JUNIN,altoandina
SATIPO,JUNIN,selva
CHANCHAMAYO,JUNIN,selva
ANTA,CUSCO,altoandina
CALCA,CUSCO,altoandina
CANAS,CUSCO,altoandina
CANCHIS,CUSCO,altoandina
CHUMBIVILCAS,CUSCO,altoandina
ESPINAR,CUSCO,altoandina
PARURO,CUSCO,altoandina
QUISPICANCHI,CUSCO,altoandina
URUBAMBA,CUSCO,altoandina
ACOMAYO,CUSCO,altoandina
CUSCO,CUSCO,altoandina
PAUCARTAMBO,CUSCO,altoandina
LA CONVENCION,CUSCO,selva
SANTIAGO DE CHUCO,LA LIBERTAD,altoandina
JULCAN,LA LIBERTAD,altoandina
OTUZCO,LA LIBERTAD,altoandina
SANCHEZ CARRION,LA LIBERTAD,altoandina
BOLIVAR,LA LIBERTAD,altoandina
PATAZ,LA LIBERTAD,altoandina
GRAN CHIMU,LA LIBERTAD,pendiente_verificacion
ASCOPE,LA LIBERTAD,costa_riego
CHEPEN,LA LIBERTAD,costa_riego
PACASMAYO,LA LIBERTAD,costa_riego
TRUJILLO,LA LIBERTAD,costa_riego
VIRU,LA LIBERTAD,costa_riego
HUANCAVELICA,HUANCAVELICA,altoandina
ACOBAMBA,HUANCAVELICA,altoandina
ANGARAES,HUANCAVELICA,altoandina
CASTROVIRREYNA,HUANCAVELICA,altoandina
CHURCAMPA,HUANCAVELICA,altoandina
HUAYTARA,HUANCAVELICA,altoandina
TAYACAJA,HUANCAVELICA,altoandina
